OTU,Size,Domain,Phylum,Class,Order,Family,Genus
Otu01324,157,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu01325,85,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified
Otu01326,140,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
Otu01327,128,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
Otu01328,228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,uncultured
Otu01329,188,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu01330,169,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis
Otu01331,155,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A_clade,KI89A_clade_fa,KI89A_clade_ge
Otu01332,188,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4_lineage
Otu01333,153,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halieaceae_unclassified
Otu01334,149,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Pelagibius
Otu01335,148,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,uncultured,uncultured_ge
Otu01336,143,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
Otu01337,156,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured
Otu01338,196,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus
Otu01339,152,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagales_unclassified,Cytophagales_unclassified
Otu01340,185,Bacteria,Proteobacteria,Alphaproteobacteria,NRL2,NRL2_fa,NRL2_ge
Otu01341,141,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
Otu01342,145,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
Otu01343,143,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
Otu01344,148,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospiraceae_unclassified
Otu01345,155,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,Blastocatella
Otu01347,169,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas
Otu01348,154,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter
Otu01349,145,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu01350,152,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu01351,153,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
Otu01353,146,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutales_unclassified,Opitutales_unclassified
Otu01354,164,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagales_unclassified,Cytophagales_unclassified
Otu01355,144,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula
Otu01356,363,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Stappiaceae_unclassified
Otu01357,182,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
Otu01358,152,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group_fa,UBA10353_marine_group_ge
Otu01359,199,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
Otu01362,144,Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,OM182_clade_fa,OM182_clade_ge
Otu01363,178,Bacteria,Planctomycetes,Pla4_lineage,Pla4_lineage_or,Pla4_lineage_fa,Pla4_lineage_ge
Otu01364,104,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
Otu01365,149,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Bythopirellula
Otu01366,206,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospiraceae_unclassified
Otu01368,174,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Microtrichaceae_unclassified
