	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling	12-Lulu_97
END_DL22_30_S122_L001	45790	36709	36709	36709 (15381 uniques)	35793 (476 uniques)	34271 (420 uniques)	32468 (331 uniques)	32422 (328 uniques)	32422 (328 uniques)	32422 (299 uniques)	30284 (287 uniques)	30284 (287 uniques)	30284 (287 uniques)	30284 (287 uniques)
END_DL22_31_S123_L001	49190	38471	38471	38471 (18569 uniques)	37157 (694 uniques)	34638 (562 uniques)	33518 (503 uniques)	33516 (502 uniques)	33516 (502 uniques)	33516 (445 uniques)	29469 (415 uniques)	29469 (415 uniques)	29469 (415 uniques)	29469 (415 uniques)
END_DL22_32_S124_L001	54590	42223	42223	42223 (16622 uniques)	41747 (326 uniques)	40474 (314 uniques)	34527 (212 uniques)	34297 (208 uniques)	34297 (208 uniques)	34297 (187 uniques)	30362 (158 uniques)	30362 (158 uniques)	30362 (158 uniques)	30362 (158 uniques)
END_DL22_33_S125_L001	42902	35135	35135	35135 (13967 uniques)	34453 (408 uniques)	33050 (382 uniques)	29636 (283 uniques)	29558 (281 uniques)	29558 (281 uniques)	29558 (252 uniques)	25186 (230 uniques)	25186 (230 uniques)	25186 (230 uniques)	25186 (230 uniques)
END_DL22_34_S126_L001	55603	43905	43905	43905 (20811 uniques)	43027 (647 uniques)	40674 (566 uniques)	35288 (463 uniques)	35233 (460 uniques)	35233 (460 uniques)	35233 (408 uniques)	27237 (369 uniques)	27237 (369 uniques)	27237 (369 uniques)	27237 (369 uniques)
END_DL22_35_1_S127_L001	52701	41628	41628	41628 (21515 uniques)	40277 (749 uniques)	37287 (608 uniques)	35185 (520 uniques)	35171 (517 uniques)	35171 (517 uniques)	35171 (441 uniques)	30183 (414 uniques)	30183 (414 uniques)	30183 (414 uniques)	30183 (414 uniques)
END_DL22_35_2_S128_L001	73699	57345	57345	57345 (24791 uniques)	56325 (640 uniques)	53784 (544 uniques)	47950 (438 uniques)	47904 (435 uniques)	47904 (435 uniques)	47904 (366 uniques)	34146 (333 uniques)	34144 (332 uniques)	34144 (332 uniques)	34144 (332 uniques)
END_DL22_36_S129_L001	54815	42356	42356	42356 (19631 uniques)	41527 (475 uniques)	39465 (412 uniques)	38184 (338 uniques)	38173 (337 uniques)	38173 (337 uniques)	38173 (273 uniques)	32422 (246 uniques)	32420 (245 uniques)	32420 (245 uniques)	32420 (245 uniques)
END_DL22_37_S130_L001	62267	48315	48315	48315 (23788 uniques)	46931 (843 uniques)	43290 (701 uniques)	39795 (589 uniques)	39777 (588 uniques)	39777 (588 uniques)	39777 (506 uniques)	33847 (462 uniques)	33847 (462 uniques)	33847 (462 uniques)	33847 (462 uniques)
END_DL22_38_S131_L001	54075	41710	41710	41710 (17666 uniques)	40995 (344 uniques)	39616 (319 uniques)	32710 (220 uniques)	32526 (216 uniques)	32526 (216 uniques)	32526 (195 uniques)	26972 (180 uniques)	26972 (180 uniques)	26972 (180 uniques)	26972 (180 uniques)
END_DL22_39_S132_L001	70313	55918	55918	55918 (22030 uniques)	55408 (359 uniques)	53851 (347 uniques)	47689 (243 uniques)	47447 (240 uniques)	47447 (240 uniques)	47447 (205 uniques)	40191 (183 uniques)	40191 (183 uniques)	40191 (183 uniques)	40191 (183 uniques)
END_DL22_3_S99_L001	62446	49363	49363	49363 (21401 uniques)	48630 (457 uniques)	46857 (423 uniques)	39094 (319 uniques)	39094 (319 uniques)	39094 (319 uniques)	39094 (278 uniques)	30526 (258 uniques)	30520 (255 uniques)	30520 (255 uniques)	30520 (255 uniques)
END_DL22_40_S133_L001	52338	42077	42077	42077 (17983 uniques)	41164 (520 uniques)	39736 (492 uniques)	37147 (386 uniques)	37147 (386 uniques)	37147 (386 uniques)	37147 (329 uniques)	32834 (308 uniques)	32832 (307 uniques)	32832 (307 uniques)	32832 (307 uniques)
END_DL22_41_S134_L001	64237	50557	50557	50557 (25149 uniques)	49267 (728 uniques)	46249 (604 uniques)	26464 (504 uniques)	26464 (504 uniques)	26464 (504 uniques)	26464 (449 uniques)	21561 (411 uniques)	21559 (410 uniques)	21559 (410 uniques)	21559 (410 uniques)
END_DL22_42_S135_L001	52317	40864	40864	40864 (15724 uniques)	40222 (352 uniques)	38738 (345 uniques)	36611 (244 uniques)	36469 (241 uniques)	36469 (241 uniques)	36469 (207 uniques)	28124 (182 uniques)	28124 (182 uniques)	28124 (182 uniques)	28124 (182 uniques)
END_DL22_43_S136_L001	52775	42350	42350	42350 (18390 uniques)	41476 (473 uniques)	39887 (431 uniques)	38168 (348 uniques)	38168 (348 uniques)	38168 (348 uniques)	38168 (297 uniques)	31507 (269 uniques)	31507 (269 uniques)	31507 (269 uniques)	31507 (269 uniques)
END_DL22_46_S137_L001	67448	53259	53259	53259 (22613 uniques)	52016 (728 uniques)	49252 (601 uniques)	47597 (511 uniques)	47538 (508 uniques)	47538 (508 uniques)	47538 (432 uniques)	42463 (393 uniques)	42461 (392 uniques)	42461 (392 uniques)	42461 (392 uniques)
END_DL22_47_S138_L001	72152	56322	56322	56322 (26802 uniques)	55383 (730 uniques)	53004 (645 uniques)	28265 (532 uniques)	28229 (531 uniques)	28229 (531 uniques)	28229 (455 uniques)	26002 (430 uniques)	25994 (426 uniques)	25994 (426 uniques)	25994 (426 uniques)
END_DL22_49_S139_L001	64078	50661	50661	50661 (19639 uniques)	49660 (403 uniques)	48122 (360 uniques)	46615 (288 uniques)	46245 (282 uniques)	46245 (282 uniques)	46245 (247 uniques)	40049 (230 uniques)	40045 (228 uniques)	40045 (228 uniques)	40045 (228 uniques)
END_DL22_50_S140_L001	56836	44005	44005	44005 (20684 uniques)	42820 (757 uniques)	40097 (673 uniques)	36768 (549 uniques)	36768 (549 uniques)	36768 (549 uniques)	36768 (461 uniques)	30332 (425 uniques)	30332 (425 uniques)	30332 (425 uniques)	30332 (425 uniques)
END_DL22_51_S141_L001	62797	48176	48176	48176 (20674 uniques)	47325 (485 uniques)	45387 (441 uniques)	40167 (338 uniques)	40001 (334 uniques)	40001 (334 uniques)	40001 (292 uniques)	32237 (257 uniques)	32237 (257 uniques)	32237 (257 uniques)	32237 (257 uniques)
END_DL22_54_S142_L001	70882	57906	57906	57906 (19850 uniques)	57139 (468 uniques)	55752 (436 uniques)	50566 (330 uniques)	49987 (313 uniques)	49987 (313 uniques)	49987 (275 uniques)	48737 (258 uniques)	48736 (257 uniques)	48736 (257 uniques)	48736 (257 uniques)
END_DL22_55_S143_L001	50117	40562	40562	40562 (20156 uniques)	39238 (838 uniques)	36448 (655 uniques)	35252 (598 uniques)	35252 (598 uniques)	35252 (598 uniques)	35252 (518 uniques)	32283 (490 uniques)	32283 (490 uniques)	32283 (490 uniques)	32283 (490 uniques)
END_DL22_56_S144_L001	51084	41494	41494	41494 (17622 uniques)	40618 (480 uniques)	38776 (436 uniques)	36617 (333 uniques)	36573 (332 uniques)	36573 (332 uniques)	36573 (293 uniques)	30276 (275 uniques)	30276 (275 uniques)	30276 (275 uniques)	30276 (275 uniques)
END_DL22_57_S145_L001	41289	32097	32097	32097 (14841 uniques)	31318 (385 uniques)	29799 (354 uniques)	24715 (253 uniques)	24701 (252 uniques)	24701 (252 uniques)	24701 (233 uniques)	21373 (205 uniques)	21371 (204 uniques)	21371 (204 uniques)	21371 (204 uniques)
END_DL22_5_S100_L001	69609	54874	54874	54874 (21682 uniques)	53765 (600 uniques)	51758 (539 uniques)	47108 (433 uniques)	46720 (423 uniques)	46720 (423 uniques)	46720 (365 uniques)	44890 (345 uniques)	44890 (345 uniques)	44890 (345 uniques)	44890 (345 uniques)
END_DL22_6_S101_L001	56750	44491	44491	44491 (18354 uniques)	43752 (323 uniques)	42365 (298 uniques)	38898 (200 uniques)	38734 (196 uniques)	38734 (196 uniques)	38734 (174 uniques)	28840 (156 uniques)	28838 (155 uniques)	28838 (155 uniques)	28838 (155 uniques)
END_DL22_7_S102_L001	56357	43653	43653	43653 (19180 uniques)	43002 (433 uniques)	41311 (411 uniques)	35613 (308 uniques)	35572 (306 uniques)	35572 (306 uniques)	35572 (257 uniques)	28523 (236 uniques)	28521 (235 uniques)	28521 (235 uniques)	28521 (235 uniques)
END_DL22_8_S103_L001	66110	52431	52431	52431 (24655 uniques)	51274 (631 uniques)	48970 (565 uniques)	43289 (461 uniques)	43289 (461 uniques)	43289 (461 uniques)	43289 (396 uniques)	38312 (361 uniques)	38310 (360 uniques)	38310 (360 uniques)	38310 (360 uniques)
END_DL22_9_S104_L001	60222	46539	46539	46539 (18917 uniques)	45908 (358 uniques)	44716 (371 uniques)	40856 (254 uniques)	40782 (252 uniques)	40782 (252 uniques)	40782 (214 uniques)	27422 (182 uniques)	27422 (182 uniques)	27422 (182 uniques)	27422 (182 uniques)
END_PS11_24_S21_L001	35841	27978	27978	27978 (12305 uniques)	26954 (644 uniques)	24702 (494 uniques)	24189 (459 uniques)	24189 (459 uniques)	24189 (459 uniques)	24189 (381 uniques)	20381 (359 uniques)	20379 (358 uniques)	20379 (358 uniques)	20379 (358 uniques)
END_PS11_37_1_S33_L001	27061	23048	23048	23048 (10095 uniques)	21947 (615 uniques)	20055 (466 uniques)	19828 (451 uniques)	19811 (450 uniques)	19811 (450 uniques)	19811 (396 uniques)	17492 (374 uniques)	17492 (374 uniques)	17492 (374 uniques)	17492 (374 uniques)
END_PS11_46_3_S45_L001	51958	40659	40659	40659 (18785 uniques)	39249 (918 uniques)	35975 (673 uniques)	35380 (637 uniques)	35380 (637 uniques)	35380 (637 uniques)	35380 (541 uniques)	30613 (519 uniques)	30611 (518 uniques)	30611 (518 uniques)	30611 (518 uniques)
END_PS11_9_S9_L001	58512	44453	44453	44453 (15550 uniques)	43231 (702 uniques)	40466 (514 uniques)	40281 (499 uniques)	40079 (493 uniques)	40079 (493 uniques)	40079 (425 uniques)	37253 (399 uniques)	37251 (398 uniques)	37251 (398 uniques)	37251 (398 uniques)
END_PS22_10_1_S10_L001	55787	43417	43417	43417 (16707 uniques)	42149 (815 uniques)	39215 (614 uniques)	39078 (592 uniques)	38991 (589 uniques)	38991 (589 uniques)	38991 (494 uniques)	36551 (473 uniques)	36551 (473 uniques)	36551 (473 uniques)	36551 (473 uniques)
END_PS22_10_25_S22_L001	46586	35666	35666	35666 (15222 uniques)	34473 (808 uniques)	31710 (586 uniques)	31654 (577 uniques)	31654 (577 uniques)	31654 (577 uniques)	31654 (499 uniques)	29486 (478 uniques)	29486 (478 uniques)	29486 (478 uniques)	29486 (478 uniques)
END_PS22_10_26_S23_L001	50903	38149	38149	38149 (16318 uniques)	36805 (792 uniques)	33999 (585 uniques)	33808 (565 uniques)	33808 (565 uniques)	33808 (565 uniques)	33808 (481 uniques)	27630 (447 uniques)	27630 (447 uniques)	27630 (447 uniques)	27630 (447 uniques)
END_PS22_10_2_S11_L001	63191	49341	49341	49341 (18249 uniques)	48126 (846 uniques)	45412 (672 uniques)	45282 (645 uniques)	45214 (642 uniques)	45214 (642 uniques)	45214 (532 uniques)	42974 (512 uniques)	42974 (512 uniques)	42974 (512 uniques)	42974 (512 uniques)
END_PS22_13_S12_L001	55270	44120	44120	44120 (16065 uniques)	42920 (739 uniques)	40360 (570 uniques)	40224 (554 uniques)	40073 (547 uniques)	40073 (547 uniques)	40073 (446 uniques)	37891 (421 uniques)	37889 (420 uniques)	37889 (420 uniques)	37889 (420 uniques)
END_PS22_14_S13_L001	58961	44824	44824	44824 (16403 uniques)	43683 (798 uniques)	40775 (584 uniques)	40524 (565 uniques)	40248 (560 uniques)	40248 (560 uniques)	40248 (472 uniques)	34597 (446 uniques)	34595 (445 uniques)	34595 (445 uniques)	34595 (445 uniques)
END_PS22_15_S14_L001	49493	41225	41225	41225 (16523 uniques)	40158 (880 uniques)	37362 (682 uniques)	37244 (653 uniques)	37236 (652 uniques)	37236 (652 uniques)	37236 (513 uniques)	29820 (473 uniques)	29820 (473 uniques)	29820 (473 uniques)	29820 (473 uniques)
END_PS22_16_S15_L001	67033	51707	51707	51707 (19708 uniques)	50328 (885 uniques)	47111 (672 uniques)	46637 (628 uniques)	46428 (624 uniques)	46428 (624 uniques)	46428 (532 uniques)	42840 (495 uniques)	42840 (495 uniques)	42840 (495 uniques)	42840 (495 uniques)
END_PS22_17_S16_L001	51139	41062	41062	41062 (14422 uniques)	39784 (855 uniques)	37236 (647 uniques)	37105 (626 uniques)	36947 (619 uniques)	36947 (619 uniques)	36947 (526 uniques)	33435 (498 uniques)	33431 (496 uniques)	33431 (496 uniques)	33431 (496 uniques)
END_PS22_19_S17_L001	50224	38471	38471	38471 (16014 uniques)	37135 (819 uniques)	34035 (587 uniques)	31598 (572 uniques)	31598 (572 uniques)	31598 (572 uniques)	31598 (482 uniques)	29222 (455 uniques)	29222 (455 uniques)	29222 (455 uniques)	29222 (455 uniques)
END_PS22_23_S20_L001	49008	37127	37127	37127 (15431 uniques)	35685 (819 uniques)	32547 (593 uniques)	32358 (571 uniques)	32287 (568 uniques)	32287 (568 uniques)	32287 (485 uniques)	24964 (460 uniques)	24964 (460 uniques)	24964 (460 uniques)	24964 (460 uniques)
END_PS22_27_S24_L001	36463	28362	28362	28362 (12046 uniques)	27208 (611 uniques)	24978 (458 uniques)	24767 (433 uniques)	24576 (427 uniques)	24576 (427 uniques)	24576 (365 uniques)	21548 (347 uniques)	21548 (347 uniques)	21548 (347 uniques)	21548 (347 uniques)
END_PS22_28_S25_L001	51802	40351	40351	40351 (15580 uniques)	39165 (806 uniques)	36743 (624 uniques)	36578 (605 uniques)	36521 (602 uniques)	36521 (602 uniques)	36521 (507 uniques)	29898 (482 uniques)	29896 (481 uniques)	29896 (481 uniques)	29896 (481 uniques)
END_PS22_29_1_S26_L001	42614	32933	32933	32933 (14094 uniques)	31792 (684 uniques)	29543 (521 uniques)	29203 (496 uniques)	29177 (494 uniques)	29177 (494 uniques)	29177 (426 uniques)	27270 (402 uniques)	27270 (402 uniques)	27270 (402 uniques)	27270 (402 uniques)
END_PS22_29_2_S27_L001	61616	46141	46141	46141 (20044 uniques)	44681 (1044 uniques)	41109 (777 uniques)	40904 (759 uniques)	40904 (759 uniques)	40904 (759 uniques)	40904 (649 uniques)	38752 (620 uniques)	38750 (619 uniques)	38750 (619 uniques)	38750 (619 uniques)
END_PS22_30_S28_L001	44268	35113	35113	35113 (13597 uniques)	34400 (623 uniques)	32717 (513 uniques)	31984 (462 uniques)	31984 (462 uniques)	31984 (462 uniques)	31984 (388 uniques)	25899 (363 uniques)	25899 (363 uniques)	25899 (363 uniques)	25899 (363 uniques)
END_PS22_31_S29_L001	46608	35916	35916	35916 (16099 uniques)	34668 (860 uniques)	31763 (649 uniques)	31536 (628 uniques)	31524 (626 uniques)	31524 (626 uniques)	31524 (541 uniques)	28424 (514 uniques)	28424 (514 uniques)	28424 (514 uniques)	28424 (514 uniques)
END_PS22_32_1_S30_L001	55616	42618	42618	42618 (17089 uniques)	41256 (808 uniques)	38146 (573 uniques)	37925 (547 uniques)	37889 (544 uniques)	37889 (544 uniques)	37889 (468 uniques)	26732 (444 uniques)	26728 (442 uniques)	26728 (442 uniques)	26728 (442 uniques)
END_PS22_33_S31_L001	47256	37150	37150	37150 (16302 uniques)	35714 (989 uniques)	32469 (735 uniques)	32327 (716 uniques)	32325 (715 uniques)	32325 (715 uniques)	32325 (624 uniques)	28293 (585 uniques)	28289 (583 uniques)	28289 (583 uniques)	28289 (583 uniques)
END_PS22_36_S32_L001	42154	31834	31834	31834 (13430 uniques)	30767 (637 uniques)	28632 (453 uniques)	28465 (445 uniques)	28465 (445 uniques)	28465 (445 uniques)	28465 (393 uniques)	18963 (371 uniques)	18963 (371 uniques)	18963 (371 uniques)	18963 (371 uniques)
END_PS22_37_2_S34_L001	48453	36841	36841	36841 (15987 uniques)	35342 (850 uniques)	32342 (615 uniques)	32286 (599 uniques)	32286 (599 uniques)	32286 (599 uniques)	32286 (515 uniques)	30356 (493 uniques)	30350 (490 uniques)	30350 (490 uniques)	30350 (490 uniques)
END_PS22_37_3_S35_L001	35329	27457	27457	27457 (12150 uniques)	26370 (657 uniques)	24154 (484 uniques)	23902 (463 uniques)	23902 (463 uniques)	23902 (463 uniques)	23902 (397 uniques)	20868 (381 uniques)	20868 (381 uniques)	20868 (381 uniques)	20868 (381 uniques)
END_PS22_38_S36_L001	36118	27822	27822	27822 (11795 uniques)	26899 (634 uniques)	24632 (460 uniques)	24487 (438 uniques)	24487 (438 uniques)	24487 (438 uniques)	24487 (372 uniques)	21139 (355 uniques)	21137 (354 uniques)	21137 (354 uniques)	21137 (354 uniques)
END_PS22_39_S37_L001	53707	41483	41483	41483 (16473 uniques)	40388 (794 uniques)	37756 (606 uniques)	36863 (546 uniques)	36836 (544 uniques)	36836 (544 uniques)	36836 (468 uniques)	33043 (447 uniques)	33043 (447 uniques)	33043 (447 uniques)	33043 (447 uniques)
END_PS22_3_S2_L001	74919	58320	58320	58320 (23108 uniques)	56763 (1043 uniques)	53015 (789 uniques)	52759 (760 uniques)	52759 (760 uniques)	52759 (760 uniques)	52759 (639 uniques)	42293 (598 uniques)	42287 (595 uniques)	42287 (595 uniques)	42287 (595 uniques)
END_PS22_40_S38_L001	52509	40155	40155	40155 (14572 uniques)	38939 (735 uniques)	36325 (504 uniques)	36119 (490 uniques)	35965 (485 uniques)	35965 (485 uniques)	35965 (415 uniques)	27333 (394 uniques)	27333 (394 uniques)	27333 (394 uniques)	27333 (394 uniques)
END_PS22_41_S39_L001	52030	40612	40612	40612 (16582 uniques)	39042 (932 uniques)	35481 (636 uniques)	35422 (620 uniques)	35420 (619 uniques)	35420 (619 uniques)	35420 (527 uniques)	31780 (509 uniques)	31778 (508 uniques)	31778 (508 uniques)	31778 (508 uniques)
END_PS22_42_S40_L001	62304	48371	48371	48371 (18375 uniques)	46997 (904 uniques)	43740 (641 uniques)	43388 (617 uniques)	43254 (614 uniques)	43254 (614 uniques)	43254 (515 uniques)	34716 (487 uniques)	34716 (487 uniques)	34716 (487 uniques)	34716 (487 uniques)
END_PS22_43_S41_L001	38206	30931	30931	30931 (13394 uniques)	29567 (846 uniques)	26572 (602 uniques)	26416 (581 uniques)	26416 (581 uniques)	26416 (581 uniques)	26416 (505 uniques)	21665 (466 uniques)	21659 (463 uniques)	21659 (463 uniques)	21659 (463 uniques)
END_PS22_44_S42_L001	43774	34697	34697	34697 (14552 uniques)	33289 (830 uniques)	30607 (603 uniques)	30404 (588 uniques)	30367 (587 uniques)	30367 (587 uniques)	30367 (520 uniques)	27582 (484 uniques)	27580 (483 uniques)	27580 (483 uniques)	27580 (483 uniques)
END_PS22_46_1_S43_L001	40357	31423	31423	31423 (12824 uniques)	30264 (820 uniques)	27775 (580 uniques)	27609 (563 uniques)	27609 (563 uniques)	27609 (563 uniques)	27609 (489 uniques)	24727 (453 uniques)	24723 (451 uniques)	24723 (451 uniques)	24723 (451 uniques)
END_PS22_46_2_S44_L001	33972	26123	26123	26123 (10838 uniques)	24975 (751 uniques)	22500 (537 uniques)	22493 (524 uniques)	22467 (523 uniques)	22467 (523 uniques)	22467 (446 uniques)	20590 (418 uniques)	20590 (418 uniques)	20590 (418 uniques)	20590 (418 uniques)
END_PS22_47_S46_L001	44912	34803	34803	34803 (13615 uniques)	33812 (706 uniques)	31143 (506 uniques)	30969 (489 uniques)	30933 (488 uniques)	30933 (488 uniques)	30933 (413 uniques)	26436 (391 uniques)	26436 (391 uniques)	26436 (391 uniques)	26436 (391 uniques)
END_PS22_49_1_S47_L001	35121	27116	27116	27116 (10982 uniques)	26143 (607 uniques)	24229 (457 uniques)	24032 (440 uniques)	23948 (435 uniques)	23948 (435 uniques)	23948 (378 uniques)	18104 (353 uniques)	18104 (353 uniques)	18104 (353 uniques)	18104 (353 uniques)
END_PS22_49_2_S48_L001	40728	32282	32282	32282 (13403 uniques)	31209 (724 uniques)	29013 (539 uniques)	28883 (525 uniques)	28883 (525 uniques)	28883 (525 uniques)	28883 (460 uniques)	22483 (442 uniques)	22483 (442 uniques)	22483 (442 uniques)	22483 (442 uniques)
END_PS22_49_3_S49_L001	29903	23384	23384	23384 (9677 uniques)	22369 (559 uniques)	20466 (393 uniques)	20399 (375 uniques)	20399 (375 uniques)	20399 (375 uniques)	20399 (317 uniques)	15765 (299 uniques)	15763 (298 uniques)	15763 (298 uniques)	15763 (298 uniques)
END_PS22_49_4_S50_L001	24832	18899	18899	18899 (7235 uniques)	18205 (426 uniques)	16705 (293 uniques)	16619 (286 uniques)	16616 (285 uniques)	16616 (285 uniques)	16616 (253 uniques)	12909 (239 uniques)	12909 (239 uniques)	12909 (239 uniques)	12909 (239 uniques)
END_PS22_4_S3_L001	71740	57437	57437	57437 (20945 uniques)	56258 (815 uniques)	53678 (656 uniques)	53248 (611 uniques)	53158 (608 uniques)	53158 (608 uniques)	53158 (485 uniques)	43528 (444 uniques)	43526 (443 uniques)	43526 (443 uniques)	43526 (443 uniques)
END_PS22_50_S51_L001	23008	17932	17932	17932 (7888 uniques)	16949 (538 uniques)	15091 (372 uniques)	15046 (368 uniques)	15046 (368 uniques)	15046 (368 uniques)	15046 (334 uniques)	12388 (309 uniques)	12388 (309 uniques)	12388 (309 uniques)	12388 (309 uniques)
END_PS22_5_S4_L001	81434	61340	61340	61340 (27023 uniques)	59927 (1053 uniques)	55824 (843 uniques)	54159 (766 uniques)	54159 (766 uniques)	54159 (766 uniques)	54159 (629 uniques)	49369 (593 uniques)	49367 (592 uniques)	49367 (592 uniques)	49367 (592 uniques)
END_PS22_6_S5_L001	36932	29757	29757	29757 (10277 uniques)	28881 (464 uniques)	27236 (336 uniques)	27102 (325 uniques)	26903 (314 uniques)	26903 (314 uniques)	26903 (262 uniques)	24698 (244 uniques)	24698 (244 uniques)	24698 (244 uniques)	24698 (244 uniques)
END_PS22_7_1_S6_L001	59694	47059	47059	47059 (19430 uniques)	45661 (965 uniques)	42576 (740 uniques)	42218 (707 uniques)	42218 (707 uniques)	42218 (707 uniques)	42218 (607 uniques)	38314 (570 uniques)	38310 (568 uniques)	38310 (568 uniques)	38310 (568 uniques)
END_PS22_7_20_S18_L001	51710	40212	40212	40212 (16804 uniques)	38786 (892 uniques)	35554 (629 uniques)	35401 (619 uniques)	35349 (617 uniques)	35349 (617 uniques)	35349 (533 uniques)	32727 (508 uniques)	32727 (508 uniques)	32727 (508 uniques)	32727 (508 uniques)
END_PS22_7_22_S19_L001	42629	32657	32657	32657 (13971 uniques)	31451 (641 uniques)	29162 (469 uniques)	28692 (442 uniques)	28692 (442 uniques)	28692 (442 uniques)	28692 (382 uniques)	23871 (356 uniques)	23871 (356 uniques)	23871 (356 uniques)	23871 (356 uniques)
END_PS22_7_2_S7_L001	65296	51433	51433	51433 (20015 uniques)	49853 (1007 uniques)	46528 (756 uniques)	46293 (721 uniques)	46255 (719 uniques)	46255 (719 uniques)	46255 (596 uniques)	40654 (567 uniques)	40654 (567 uniques)	40654 (567 uniques)	40654 (567 uniques)
END_PS22_8_S8_L001	71811	57227	57227	57227 (21490 uniques)	56114 (899 uniques)	53360 (743 uniques)	52923 (699 uniques)	52923 (699 uniques)	52923 (699 uniques)	52923 (554 uniques)	46711 (514 uniques)	46711 (514 uniques)	46711 (514 uniques)	46711 (514 uniques)
FLU10_S316_L001	17	/	/	/	/	/	/	/	/	/	/	/	/	/
FLU11_S317_L001	38824	5010	5010	5010 (2093 uniques)	4454 (60 uniques)	4297 (50 uniques)	4297 (49 uniques)	4297 (49 uniques)	4297 (49 uniques)	4297 (49 uniques)	4276 (46 uniques)	4276 (46 uniques)	4276 (46 uniques)	4276 (46 uniques)
FLU12_S318_L001	35315	1747	1747	1747 (1209 uniques)	1179 (35 uniques)	997 (27 uniques)	992 (26 uniques)	992 (26 uniques)	992 (26 uniques)	992 (26 uniques)	966 (23 uniques)	966 (23 uniques)	966 (23 uniques)	966 (23 uniques)
FLU13_S319_L001	26853	20680	20680	20680 (6623 uniques)	20583 (66 uniques)	20495 (60 uniques)	15450 (46 uniques)	15450 (46 uniques)	15450 (46 uniques)	15450 (40 uniques)	5344 (38 uniques)	5344 (38 uniques)	5344 (38 uniques)	5344 (38 uniques)
FLU14_S344_L001	33949	25872	25872	25872 (8704 uniques)	25653 (73 uniques)	24883 (57 uniques)	22689 (48 uniques)	22507 (43 uniques)	22507 (43 uniques)	22507 (36 uniques)	12384 (34 uniques)	12382 (33 uniques)	12382 (33 uniques)	12382 (33 uniques)
FLU15_S345_L001	13380	1863	1863	1863 (1752 uniques)	1817 (10 uniques)	1812 (8 uniques)	116 (7 uniques)	116 (7 uniques)	116 (7 uniques)	116 (7 uniques)	116 (7 uniques)	116 (7 uniques)	116 (7 uniques)	116 (7 uniques)
FLU16_S346_L001	15163	2118	2118	2118 (2000 uniques)	2072 (11 uniques)	114 (7 uniques)	114 (7 uniques)	114 (7 uniques)	114 (7 uniques)	114 (7 uniques)	114 (7 uniques)	114 (7 uniques)	114 (7 uniques)	114 (7 uniques)
FLU17_S347_L001	29238	1066	1066	1066 (780 uniques)	867 (25 uniques)	706 (17 uniques)	470 (16 uniques)	470 (16 uniques)	470 (16 uniques)	470 (16 uniques)	296 (15 uniques)	296 (15 uniques)	296 (15 uniques)	296 (15 uniques)
FLU18_S348_L001	33207	2214	2214	2214 (1534 uniques)	1857 (108 uniques)	1293 (76 uniques)	1233 (74 uniques)	1233 (74 uniques)	1233 (74 uniques)	1233 (73 uniques)	1014 (66 uniques)	1014 (66 uniques)	1014 (66 uniques)	1014 (66 uniques)
FLU19_S349_L001	16441	13006	13006	13006 (5427 uniques)	12936 (57 uniques)	12864 (54 uniques)	6578 (45 uniques)	6578 (45 uniques)	6578 (45 uniques)	6578 (43 uniques)	6417 (41 uniques)	6417 (41 uniques)	6417 (41 uniques)	6417 (41 uniques)
FLU1_S367_L001	32034	25128	25128	25128 (8376 uniques)	24990 (124 uniques)	24671 (107 uniques)	20291 (97 uniques)	20291 (97 uniques)	20291 (97 uniques)	20291 (85 uniques)	5101 (80 uniques)	5101 (80 uniques)	5101 (80 uniques)	5101 (80 uniques)
FLU20_S350_L001	35878	26008	26008	26008 (7828 uniques)	25887 (62 uniques)	25688 (54 uniques)	19052 (44 uniques)	19052 (44 uniques)	19052 (44 uniques)	19052 (37 uniques)	3526 (34 uniques)	3526 (34 uniques)	3526 (34 uniques)	3526 (34 uniques)
FLU21_S351_L001	27796	8409	8409	8409 (5077 uniques)	8153 (121 uniques)	4999 (77 uniques)	4999 (77 uniques)	4999 (77 uniques)	4999 (77 uniques)	4999 (72 uniques)	3776 (63 uniques)	3776 (63 uniques)	3776 (63 uniques)	3776 (63 uniques)
FLU22_S352_L001	16615	2297	2297	2297 (2178 uniques)	2221 (26 uniques)	2189 (16 uniques)	125 (15 uniques)	125 (15 uniques)	125 (15 uniques)	125 (15 uniques)	113 (12 uniques)	113 (12 uniques)	113 (12 uniques)	113 (12 uniques)
FLU23_S353_L001	42101	1747	1747	1747 (1155 uniques)	1083 (37 uniques)	957 (29 uniques)	957 (29 uniques)	957 (29 uniques)	957 (29 uniques)	957 (27 uniques)	854 (25 uniques)	854 (25 uniques)	854 (25 uniques)	854 (25 uniques)
FLU24_S354_L001	32845	2594	2594	2594 (1447 uniques)	2041 (41 uniques)	2011 (35 uniques)	2003 (34 uniques)	2003 (34 uniques)	2003 (34 uniques)	2003 (33 uniques)	1817 (32 uniques)	1817 (32 uniques)	1817 (32 uniques)	1817 (32 uniques)
