	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_99	9-TaxaFilter_99	10-MultipletonsFilter_99	11-Subsampling	12-Lulu_99
INI_PS22_6_S228_L001	68601	52117	52117	52117 (23020 uniques)	50160 (994 uniques)	45770 (719 uniques)	45292 (681 uniques)	45292 (681 uniques)	45292 (681 uniques)	45292 (646 uniques)	39469 (602 uniques)	39469 (602 uniques)	39469 (602 uniques)	39469 (600 uniques)
INI_PS22_7_S229_L001	36653	29438	29438	29438 (12356 uniques)	28184 (514 uniques)	25696 (358 uniques)	25318 (340 uniques)	25293 (339 uniques)	25293 (339 uniques)	25293 (320 uniques)	23254 (294 uniques)	23254 (294 uniques)	23254 (294 uniques)	23254 (291 uniques)
INI_PS22_8_S230_L001	52163	38467	38467	38467 (16037 uniques)	37199 (573 uniques)	33860 (392 uniques)	33351 (362 uniques)	33326 (361 uniques)	33326 (361 uniques)	33326 (336 uniques)	28811 (299 uniques)	28811 (299 uniques)	28811 (299 uniques)	28811 (297 uniques)
INI_PS22_9_S231_L001	38927	30594	30594	30594 (14021 uniques)	29306 (607 uniques)	26481 (437 uniques)	26055 (408 uniques)	25995 (406 uniques)	25995 (406 uniques)	25995 (388 uniques)	24562 (364 uniques)	24558 (362 uniques)	24558 (362 uniques)	24558 (361 uniques)
KL_OFAV_12_S187_L001	67109	50886	50886	50886 (21650 uniques)	50600 (169 uniques)	50314 (208 uniques)	13658 (109 uniques)	13658 (109 uniques)	13658 (109 uniques)	13658 (106 uniques)	13029 (102 uniques)	13029 (102 uniques)	13029 (102 uniques)	13029 (99 uniques)
KL_OFAV_13_S188_L001	53838	39344	39344	39344 (18742 uniques)	39105 (110 uniques)	38782 (156 uniques)	5336 (58 uniques)	5336 (58 uniques)	5336 (58 uniques)	5336 (56 uniques)	4930 (54 uniques)	4928 (53 uniques)	4928 (53 uniques)	4928 (53 uniques)
KL_OFAV_1_S178_L001	65716	47620	47620	47620 (20235 uniques)	47425 (158 uniques)	47215 (208 uniques)	6088 (104 uniques)	6088 (104 uniques)	6088 (104 uniques)	6088 (100 uniques)	5984 (95 uniques)	5984 (95 uniques)	5984 (95 uniques)	5984 (93 uniques)
KL_OFAV_2_S179_L001	92507	69622	69622	69622 (27947 uniques)	69422 (115 uniques)	69133 (161 uniques)	7040 (63 uniques)	7040 (63 uniques)	7040 (63 uniques)	7040 (61 uniques)	5537 (58 uniques)	5537 (58 uniques)	5537 (58 uniques)	5537 (57 uniques)
KL_OFAV_3_S180_L001	58622	42728	42728	42728 (19271 uniques)	42519 (137 uniques)	42345 (190 uniques)	5272 (91 uniques)	5272 (91 uniques)	5272 (91 uniques)	5272 (90 uniques)	5073 (87 uniques)	5073 (87 uniques)	5073 (87 uniques)	5073 (85 uniques)
KL_OFAV_6_S183_L001	42804	32404	32404	32404 (14819 uniques)	32239 (93 uniques)	32072 (150 uniques)	4244 (52 uniques)	4244 (52 uniques)	4244 (52 uniques)	4244 (50 uniques)	1888 (47 uniques)	1888 (47 uniques)	1888 (47 uniques)	1888 (47 uniques)
KL_OFAV_7_S184_L001	49360	34276	34276	34276 (17038 uniques)	34087 (110 uniques)	32891 (159 uniques)	3771 (60 uniques)	3771 (60 uniques)	3771 (60 uniques)	3771 (56 uniques)	2776 (51 uniques)	2776 (51 uniques)	2776 (51 uniques)	2776 (51 uniques)
KL_OFAV_8_S185_L001	48484	36588	36588	36588 (15792 uniques)	36405 (87 uniques)	36244 (144 uniques)	4252 (45 uniques)	4252 (45 uniques)	4252 (45 uniques)	4252 (44 uniques)	3702 (41 uniques)	3702 (41 uniques)	3702 (41 uniques)	3702 (41 uniques)
KL_OFAV_9_S186_L001	57266	43769	43769	43769 (21763 uniques)	42830 (590 uniques)	40591 (484 uniques)	18863 (381 uniques)	18863 (381 uniques)	18863 (381 uniques)	18863 (365 uniques)	15194 (337 uniques)	15192 (336 uniques)	15192 (336 uniques)	15192 (336 uniques)
MCAV_DISEASE_3_9_23_S153_L001	69160	54605	54605	54605 (26667 uniques)	53164 (736 uniques)	50142 (635 uniques)	40191 (527 uniques)	40137 (524 uniques)	40137 (524 uniques)	40137 (492 uniques)	30510 (432 uniques)	30502 (428 uniques)	30502 (428 uniques)	30502 (410 uniques)
MCAV_HEALTHY_CONTROL_S160_L001	89782	70411	70411	70411 (26671 uniques)	70195 (67 uniques)	69861 (132 uniques)	5292 (26 uniques)	5292 (26 uniques)	5292 (26 uniques)	5292 (26 uniques)	5017 (22 uniques)	5017 (22 uniques)	5017 (22 uniques)	5017 (22 uniques)
MOCKP1_S1_L001	53264	42711	42711	42711 (10049 uniques)	42483 (67 uniques)	41921 (82 uniques)	41915 (75 uniques)	40973 (35 uniques)	40973 (35 uniques)	40973 (25 uniques)	40973 (25 uniques)	40969 (23 uniques)	40969 (23 uniques)	40969 (12 uniques)
MockP2_S97_L001	45913	35661	35661	35661 (12441 uniques)	35265 (51 uniques)	34655 (53 uniques)	34594 (49 uniques)	33750 (23 uniques)	33750 (23 uniques)	33750 (18 uniques)	33750 (18 uniques)	33750 (18 uniques)	33750 (18 uniques)	33750 (12 uniques)
MockP3_S193_L001	39808	30973	30973	30973 (10142 uniques)	30683 (45 uniques)	30058 (56 uniques)	30028 (52 uniques)	29273 (27 uniques)	29273 (27 uniques)	29273 (19 uniques)	29273 (19 uniques)	29271 (17 uniques)	29271 (17 uniques)	29271 (11 uniques)
MockP4_S306_L001	2341	1779	1779	1779 (652 uniques)	1776 (3 uniques)	1776 (3 uniques)	1776 (3 uniques)	1776 (3 uniques)	1776 (3 uniques)	1776 (3 uniques)	1776 (3 uniques)	1776 (3 uniques)	1776 (3 uniques)	1776 (3 uniques)
NTC1P1_S73_L001	4652	1830	1830	1830 (584 uniques)	1806 (4 uniques)	1804 (4 uniques)	1804 (4 uniques)	1804 (4 uniques)	1804 (4 uniques)	1804 (4 uniques)	1804 (4 uniques)	1804 (4 uniques)	1804 (4 uniques)	1804 (4 uniques)
NTC1P2_S181_L001	7695	4451	4451	4451 (1647 uniques)	4437 (17 uniques)	4401 (21 uniques)	4401 (16 uniques)	4401 (16 uniques)	4401 (16 uniques)	4401 (12 uniques)	4401 (12 uniques)	4401 (12 uniques)	4401 (12 uniques)	4401 (11 uniques)
NTC1P3_S277_L001	5463	3503	3503	3503 (1384 uniques)	3372 (29 uniques)	3334 (22 uniques)	3334 (20 uniques)	3334 (20 uniques)	3334 (20 uniques)	3334 (20 uniques)	3323 (19 uniques)	3323 (19 uniques)	3323 (19 uniques)	3323 (19 uniques)
NTC1P4_S307_L001	2527	1954	1954	1954 (686 uniques)	1932 (5 uniques)	1930 (5 uniques)	1930 (5 uniques)	1930 (5 uniques)	1930 (5 uniques)	1930 (5 uniques)	1930 (5 uniques)	1930 (5 uniques)	1930 (5 uniques)	1930 (5 uniques)
NTC2P1_S85_L001	5150	2755	2755	2755 (887 uniques)	2691 (23 uniques)	2682 (21 uniques)	2682 (21 uniques)	2682 (21 uniques)	2682 (21 uniques)	2682 (21 uniques)	2682 (21 uniques)	2682 (21 uniques)	2682 (21 uniques)	2682 (21 uniques)
NTC2P2_S182_L001	5996	4737	4737	4737 (1995 uniques)	4713 (14 uniques)	4705 (17 uniques)	4705 (15 uniques)	4705 (15 uniques)	4705 (15 uniques)	4705 (12 uniques)	4705 (12 uniques)	4705 (12 uniques)	4705 (12 uniques)	4705 (12 uniques)
NTC2P3_S204_L001	14140	10322	10322	10322 (5227 uniques)	9516 (260 uniques)	8403 (170 uniques)	8226 (162 uniques)	8226 (162 uniques)	8226 (162 uniques)	8226 (157 uniques)	7284 (133 uniques)	7280 (131 uniques)	7280 (131 uniques)	7280 (131 uniques)
